wavelength (nm), transmission
859, 0.9445038618197008
860, 0.9431762679451201
860.9999999999999, 0.9413857249790982
861.9999999999999, 0.9399933873910102
863, 0.9383574787764426
863.9999999999999, 0.9372355346455281
864.9999999999999, 0.9360580049349931
865.9999999999999, 0.9348806956816951
867, 0.9337352132823598
867.9999999999999, 0.9319798834048103
868.9999999999999, 0.9303208588126577
869.9999999999999, 0.9275598766265309
871, 0.9252377443799138
871.9999999999999, 0.9233608314006787
872.9999999999999, 0.9216061515254699
873.9999999999999, 0.9198460184089102
875, 0.9179356426290468
875.9999999999999, 0.9162606947806042
876.9999999999999, 0.9146557606631533
877.9999999999999, 0.9132432530068866
879, 0.9119248988202426
879.9999999999999, 0.910051610977572
880.9999999999999, 0.9091869182909935
882, 0.9078355165783771
883, 0.9072228512712686
883.9999999999999, 0.9069482259616737
884.9999999999999, 0.9062765742390082
886, 0.9054041351405613
887, 0.9056809248321349
887.9999999999999, 0.9058399528034582
888.9999999999999, 0.9063051404725395
890, 0.9062651461997249
890.9999999999999, 0.906331644339621
891.9999999999999, 0.9067134501946628
892.9999999999999, 0.9066925591966892
894, 0.9070947696763989
894.9999999999999, 0.9074406869288896
895.9999999999999, 0.9086047526418538
896.9999999999999, 0.9097675860708114
898, 0.9109416461143873
898.9999999999999, 0.9120540374287214
899.9999999999999, 0.9136867142349072
900.9999999999999, 0.9152634444381504
902, 0.9168335754865902
902.9999999999999, 0.9185470244274168
903.9999999999999, 0.9206488807095974
904.9999999999999, 0.9224402980332409
906, 0.924564913588738
906.9999999999999, 0.9259844777529922
907.9999999999999, 0.9281618781251364
909, 0.9302793203945972
910, 0.9327639514059443
910.9999999999999, 0.9353472221327506
911.9999999999999, 0.9381639270643725
913, 0.940204276122697
914, 0.9419562168180469
914.9999999999999, 0.9441322531806937
915.9999999999999, 0.9458423196185917
917, 0.9485614577564676
917.9999999999999, 0.9521331202411991
918.9999999999999, 0.9546268435506204
919.9999999999999, 0.9576822734775243
921, 0.9599616011716892
921.9999999999999, 0.9623027345013511
922.9999999999999, 0.9646242125765263
923.9999999999999, 0.9675683003773182
925, 0.9701391325414631
925.9999999999999, 0.9724854085313973
926.9999999999999, 0.9745044589264269
927.9999999999999, 0.976707290139238
929, 0.9784749708647031
929.9999999999999, 0.9797935951424395
930.9999999999999, 0.9813670421601044
931.9999999999999, 0.9832099610874642
933, 0.9850289031201092
933.9999999999999, 0.9867973388771458
934.9999999999999, 0.9885468797569048
935.9999999999999, 0.990320773214217
937, 0.9916752977505611
937.9999999999999, 0.9924490757036835
938.9999999999999, 0.9928911316127316
940, 0.9939014539959646
940.9999999999999, 0.9943488546791157
941.9999999999999, 0.9953799358059809
942.9999999999999, 0.9949504502159345
944, 0.994567851095506
944.9999999999999, 0.9945599554317059
945.9999999999999, 0.9945911469592161
946.9999999999999, 0.994131393383672
948, 0.9938559446968835
948.9999999999999, 0.9937170283581016
950, 0.9931449118237317
950.9999999999999, 0.9921241616156584
951.9999999999999, 0.9913860032825837
952.9999999999999, 0.9905392108280977
953.9999999999999, 0.9893214197828675
954.9999999999999, 0.9881085410312416
956, 0.9870284202665145
957, 0.9850374990004274
958, 0.983957114250045
958.9999999999999, 0.982165182004636
959.9999999999999, 0.9808179820006446
960.9999999999999, 0.9791764209545613
961.9999999999999, 0.9780622837171563
962.9999999999999, 0.9768940625924798
964, 0.9754619097353211
965, 0.9741473263299596
965.9999999999999, 0.9721226045567928
966.9999999999999, 0.9703052051616678
967.9999999999999, 0.9685056694511319
968.9999999999999, 0.9666446910172792
969.9999999999999, 0.9658631255813726
971, 0.9648781779933346
972, 0.9639199522969093
973, 0.9623322397007619
973.9999999999999, 0.9608117550391102
974.9999999999999, 0.959577288625911
975.9999999999999, 0.9587264722589983
976.9999999999999, 0.9576848018978437
977.9999999999999, 0.9571718512993399
979, 0.9561447041609153
980, 0.9551511432823161
981, 0.9541940631632084
981.9999999999999, 0.9534611614861441
982.9999999999999, 0.9528124975632635
983.9999999999999, 0.9528578492303243
984.9999999999999, 0.9528627940723022
985.9999999999999, 0.9528614394095365
987, 0.9528613905325769
988, 0.9528615241823931
989, 0.9528623281726574
989.9999999999999, 0.9528558005737109
990.9999999999999, 0.952840405913338
991.9999999999999, 0.9533122967602925
992.9999999999999, 0.9540850077546197
993.9999999999999, 0.9550876170617242
995, 0.9560279660611166
996, 0.9567269510954274
996.9999999999999, 0.9579476905014692
997.9999999999999, 0.9591094074672719
998.9999999999999, 0.9602772207870032
