Wavelength,Reflectance
14.03336,96.04016
14.04357,96.03495
14.05318,96.02964
14.06338,96.02441
14.07358,96.01918
14.08318,96.01385
14.09337,96.0086
14.10355,96.00335
14.11313,95.99801
14.12331,95.99275
14.13348,95.98748
14.14305,95.98212
14.15321,95.97684
14.16336,95.97156
14.17351,95.96627
14.18306,95.96088
14.1932,95.95558
14.20334,95.95027
14.21347,95.94496
14.223,95.93955
14.23312,95.93423
14.24324,95.9289
14.25335,95.92357
14.26346,95.91823
14.27296,95.91278
14.28306,95.90743
14.29315,95.90207
14.30324,95.89671
14.31332,95.89134
14.32339,95.88597
14.33287,95.88049
14.34294,95.8751
14.353,95.86971
14.36306,95.86431
14.37311,95.85891
14.38315,95.85349
14.3932,95.84808
14.40323,95.84266
14.41326,95.83723
