Pixel,Wavelength
-21.419517921649998,1.2120000000000002
-21.184283176233336,1.213
-20.94941135125,1.214
-20.714900996933334,1.215
-20.4807506697,1.2160000000000002
-20.246958932094444,1.217
-20.013524352794445,1.218
-19.780445506550002,1.219
-19.547720974144443,1.22
-19.315349342405554,1.221
-19.083329204144448,1.222
-18.851659158105555,1.223
-18.62033780897778,1.224
-18.389363767349998,1.225
-18.158735649655554,1.226
-17.92845207818889,1.227
-17.698511681016665,1.228
-17.468913092016667,1.229
-17.239654950777776,1.23
-17.01073590262778,1.231
-16.782154598566667,1.232
-16.553909695272225,1.233
-16.325999855027778,1.234
-16.098423745722222,1.235
-15.871180040827776,1.236
-15.644267419344443,1.237
-15.417684565794445,1.238
-15.191430170194444,1.239
-14.965502928,1.24
-14.739901540105556,1.241
-14.51462471282222,1.242
-14.289671157822223,1.243
-14.065039592127777,1.244
-13.84072873808889,1.245
-13.616737323350002,1.246
-13.393064080827777,1.247
-13.169707748655556,1.248
-12.9466670702,1.249
-12.723940794038889,1.25
-12.501527673866667,1.251
-12.279426468555556,1.252
-12.057635942061111,1.253
-11.836154863427778,1.254
-11.614982006777778,1.255
-11.39411615125,1.256
-11.173556081005556,1.257
-10.953300585172222,1.258
-10.73334845785,1.259
-10.513698498066667,1.26
-10.294349509777778,1.261
-10.075300301783333,1.262
-9.856549687800001,1.263
-9.638096486327777,1.264
-9.419939520716666,1.265
-9.202077619094444,1.266
-8.984509614333332,1.267
-8.767234344083333,1.268
-8.550250650683331,1.269
-8.333557381183333,1.27
-8.117153387288889,1.271
-7.901037525372222,1.272
-7.685208656422223,1.273
-7.4696656460222215,1.274
-7.2544073643499996,1.275
-7.039432686133334,1.276
-6.824740490622222,1.277
-6.610329661605555,1.278
-6.396199087338889,1.279
-6.182347660561111,1.28
-5.96877427845,1.281
-5.755477842605556,1.282
-5.542457259038889,1.283
-5.329711438127777,1.2839999999999998
-5.117239294627778,1.285
-4.905039747622222,1.286
-4.693111720516667,1.287
-4.4814541410111115,1.2879999999999998
-4.270065941072222,1.289
-4.058946056933333,1.29
-3.848093429061111,1.291
-3.6375070021277773,1.2919999999999998
-3.4271857249999997,1.293
-3.2171285507222223,1.294
-3.0073344364888888,1.295
-2.797802343622222,1.2959999999999998
-2.5885312375500003,1.297
-2.379520087827778,1.298
-2.170767868038889,1.299
-1.962273555833333,1.2999999999999998
-1.7540361329111114,1.301
-1.5460545849722225,1.302
-1.3383279017055556,1.303
-1.1308550767833334,1.3039999999999998
-0.9236351078388889,1.305
-0.7166669964333334,1.306
-0.5099497480499999,1.307
-0.3034823720611111,1.3079999999999998
-0.09726388175,1.309
0.10870670578888889,1.31
0.31443036956388887,1.311
0.5199080847894444,1.3119999999999998
